name,label,icon,category,never_removable,permanently_locked
2fa_crypto_upgrader,2FA Crypto Upgrader,shield-check,2fa,false,true
ab_test_optimizer,A/B Test Optimizer (statistical significance),flask-conical,ab,true,true
adaptive_pricing,Adaptive Pricing (dynamic demand-based pricing),tag,adaptive,true,true
advanced_billing,Advanced Billing Systems,credit-card,advanced,false,true
advanced_chatbot,Advanced AI Chatbot,message-circle,advanced,false,true
advanced_data_analysis,Advanced Data Analysis (deep insights + trends),bar-chart,advanced,false,true
advanced_reporting,Advanced Reporting,file-text,advanced,false,true
affiliate_funnel_builder,Affiliate Funnel Builder (end-to-end funnel design),filter,affiliate,true,true
affiliate_management,Affiliate Management,Users,affiliate,false,true
agent_swarm_coordination,Agent Swarm Coordination,cpu,agent,false,true
ai_content_factory,AI Content Factory (bulk content generation),pen-line,ai,true,true
ai_writing_assistant,AI Writing Assistant,PenLine,ai,false,true
amazon_integration,Amazon Integration (Merch + Associates + KDP),package,amazon,true,true
analytics_0_behavior_prediction,Analytics 0 Behavior Prediction,cpu,analytics,false,true
analytics_0_opportunity_prediction,Analytics 0 Opportunity Prediction,cpu,analytics,false,true
analytics_0_performance_forecasting,Analytics 0 Performance Forecasting,cpu,analytics,false,true
analytics_0_trend_prediction,Analytics 0 Trend Prediction,cpu,analytics,false,true
analytics_1_behavior_prediction,Analytics 1 Behavior Prediction,cpu,analytics,false,true
analytics_1_opportunity_prediction,Analytics 1 Opportunity Prediction,cpu,analytics,false,true
analytics_1_performance_forecasting,Analytics 1 Performance Forecasting,cpu,analytics,false,true
analytics_1_trend_prediction,Analytics 1 Trend Prediction,cpu,analytics,false,true
analytics_2_behavior_prediction,Analytics 2 Behavior Prediction,cpu,analytics,false,true
analytics_2_opportunity_prediction,Analytics 2 Opportunity Prediction,cpu,analytics,false,true
analytics_2_performance_forecasting,Analytics 2 Performance Forecasting,cpu,analytics,false,true
analytics_2_trend_prediction,Analytics 2 Trend Prediction,cpu,analytics,false,true
analytics_3_behavior_prediction,Analytics 3 Behavior Prediction,cpu,analytics,false,true
analytics_3_opportunity_prediction,Analytics 3 Opportunity Prediction,cpu,analytics,false,true
analytics_3_performance_forecasting,Analytics 3 Performance Forecasting,cpu,analytics,false,true
analytics_3_trend_prediction,Analytics 3 Trend Prediction,cpu,analytics,false,true
analytics_reporting,Analytics & Reporting,BarChart3,analytics,false,true
api_endpoint_test,API Endpoint Test,plug,api,false,true
api_integration_manager,API Integration Manager,Plug,api,false,true
audio_process,Audio Process (info, transcribe speech to text),mic,audio,false,true
audit_log_hardener,Audit Log Hardener,fingerprint,audit,false,true
auto_bidding_engine,Auto-Bidding Engine (Upwork/Fiverr/Contra),gavel,auto,true,true
auto_fix_common_issues,Auto-Fix Common Issues,wrench,auto,false,true
auto_knowledge_updates,Auto Knowledge Updates,cpu,auto,false,true
automated_backup_scheduler,Automated Backup Scheduler,archive,automated,false,true
automated_rebalancing,Automated Rebalancing,RefreshCw,automated,false,true
automated_reporting_dashboard,Automated Reporting Dashboard (daily/weekly/monthly),file-text,automated,true,true
automated_social_posting,Automated Social Posting (multi-platform scheduler),share-2,automated,true,true
autonomous_email_sender,Autonomous Email/Message Sender (sends directly, no user click),send,autonomous,false,true
autonomous_resolver,Autonomous Resolver,cpu,autonomous,false,true
autonomous_revenue,Autonomous Revenue System,Zap,autonomous,false,true
backlink_tracking,Backlink Tracking,Link2,backlink,false,true
backup_create,Backup Create,archive,backup,false,true
banker_asset_allocation,Banker Asset Allocation,zap,banker,false,true
banker_asset_class_analysis,Banker Asset Class Analysis,zap,banker,false,true
banker_auto_investing,Banker Auto Investing,zap,banker,false,true
banker_auto_rebalancing,Banker Auto Rebalancing,zap,banker,false,true
banker_correlation_analysis,Banker Correlation Analysis,zap,banker,false,true
banker_optimal_allocation,Banker Optimal Allocation,zap,banker,false,true
banker_performance_monitoring,Banker Performance Monitoring,zap,banker,false,true
banker_performance_optimization,Banker Performance Optimization,zap,banker,false,true
banker_rebalancing_automation,Banker Rebalancing Automation,zap,banker,false,true
banker_risk_adjusted_returns,Banker Risk Adjusted Returns,zap,banker,false,true
banker_risk_frameworks,Banker Risk Frameworks,zap,banker,false,true
banker_risk_management,Banker Risk Management,zap,banker,false,true
blueteam_asset_allocation,Blueteam Asset Allocation,zap,blueteam,false,true
blueteam_asset_class_analysis,Blueteam Asset Class Analysis,zap,blueteam,false,true
blueteam_auto_investing,Blueteam Auto Investing,zap,blueteam,false,true
blueteam_auto_rebalancing,Blueteam Auto Rebalancing,zap,blueteam,false,true
blueteam_correlation_analysis,Blueteam Correlation Analysis,zap,blueteam,false,true
blueteam_optimal_allocation,Blueteam Optimal Allocation,zap,blueteam,false,true
blueteam_performance_monitoring,Blueteam Performance Monitoring,zap,blueteam,false,true
blueteam_performance_optimization,Blueteam Performance Optimization,zap,blueteam,false,true
blueteam_rebalancing_automation,Blueteam Rebalancing Automation,zap,blueteam,false,true
blueteam_risk_adjusted_returns,Blueteam Risk Adjusted Returns,zap,blueteam,false,true
blueteam_risk_frameworks,Blueteam Risk Frameworks,zap,blueteam,false,true
blueteam_risk_management,Blueteam Risk Management,zap,blueteam,false,true
bottleneck_detector,Bottleneck Detector (identify growth constraints),alert-triangle,bottleneck,true,true
bottleneck_identification,Bottleneck Identification,cpu,bottleneck,false,true
budget_forecaster,Budget Forecaster (income + expenses + cash flow),dollar-sign,budget,false,true
budgeting_forecast,Budgeting & Forecast,Calculator,budgeting,false,true
business_infrastructure,Business Infrastructure Builder,building,business,false,true
cache_clear,Cache Clear,trash-2,cache,false,true
cache_layer_manager,Cache Layer Manager,database,cache,false,true
canary_deployment_manager,Canary Deployment Manager,percent,canary,false,true
cascading_failure_detector,Cascading Failure Detector,alert-octagon,cascading,false,true
cashflow_optimizer,Cash Flow Optimizer,DollarSign,cashflow,false,true
cdn_asset_optimizer,CDN Asset Optimizer,globe,cdn,false,true
centralized_ai_search,Centralized Ai Search,cpu,centralized,false,true
check_inbound_commands,Check Inbound Commands,inbox,check,false,true
check_loyalty_constraints,Check Loyalty Constraints (block disloyal actions),shield,check,false,true
check_protected_operation,Check Protected Operation (verify if owner auth needed),lock,check,false,true
cleanup_temp_files,Cleanup Temp Files (free /tmp space),trash,cleanup,false,true
code_exec,Code Exec,terminal,code,true,true
collective_intelligence,Collective Intelligence,cpu,collective,false,true
community_engagement,Community Engagement (Reddit/Discord/Facebook),users,community,true,true
complex_task_orchestration,Complex Task Orchestration,cpu,complex,false,true
compliance_monitor,Compliance Monitor,ShieldCheck,compliance,false,true
comprehensive_self_check,Comprehensive Self-Check (one-shot full verification),activity,comprehensive,true,true
config_auditor,Config Auditor,settings,config,false,true
conflict_resolution,Conflict Resolution,cpu,conflict,false,true
content_calendar_generator,Content Calendar Generator (multi-week plan),calendar,content,false,true
content_performance,Content Performance Analytics,bar-chart-2,content,false,true
content_qa,Content QA,CheckCircle2,content,false,true
content_repurposer,Content Repurposer (1 piece → 5 formats),repeat,content,false,true
content_repurposing,Content Repurposing,Copy,content,false,true
content_repurposing_engine,Content Repurposing Engine (1 piece → 12 variations),repeat,content,true,true
content_scheduling,Content Scheduling,Calendar,content,false,true
context_aware_decisions,Context Aware Decisions,cpu,context,false,true
conversion_optimizer,Conversion Optimizer,TrendingUp,conversion,false,true
correlation_analysis,Correlation Analysis,cpu,correlation,false,true
cost_guard,Cost Guard,dollar-sign,cost,false,true
crm,Customer Management System (CRM),users,core,false,true
crm_integration,CRM Integration,Database,crm,false,true
cross_agent_analytics,Cross Agent Analytics,cpu,cross,false,true
cross_stream_analytics,Cross-Stream Analytics (affiliate + freelance + POD unified),bar-chart,cross,true,true
